0.5 No. of Outliers: 108, Clusters : 0, Silhoutte -2
0.9 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.901 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.902 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.903 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.904 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.905 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.906 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.907 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.908 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.909 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.91 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.911 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.912 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.913 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.914 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.915 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.916 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.917 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.918 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.919 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.92 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.921 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.922 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.923 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.924 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.925 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.926 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.927 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.928 No. of Outliers: 90, Clusters : 4, Silhoutte -0.11659999936819077
0.929 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.93 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.931 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.932 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.933 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.934 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.935 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.936 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.937 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.938 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.939 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.94 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.941 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.942 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.943 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.944 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.945 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.946 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.947 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.948 No. of Outliers: 87, Clusters : 5, Silhoutte -0.09380000084638596
0.949 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.95 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.951 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.952 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.953 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.954 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.955 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.956 No. of Outliers: 84, Clusters : 5, Silhoutte -0.05990000069141388
0.957 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.958 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.959 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.96 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.961 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.962 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.963 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.964 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.965 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.966 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.967 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.968 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.969 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.97 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.971 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.972 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.973 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.974 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.975 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.976 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.977 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.978 No. of Outliers: 80, Clusters : 6, Silhoutte -0.0421999990940094
0.979 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.98 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.981 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.982 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.983 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.984 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.985 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.986 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.987 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.988 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.989 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.99 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.991 No. of Outliers: 78, Clusters : 6, Silhoutte -0.025100000202655792
0.992 No. of Outliers: 77, Clusters : 6, Silhoutte -0.01489999983459711
0.993 No. of Outliers: 77, Clusters : 6, Silhoutte -0.01489999983459711
0.994 No. of Outliers: 77, Clusters : 6, Silhoutte -0.01489999983459711
0.995 No. of Outliers: 77, Clusters : 6, Silhoutte -0.01489999983459711
0.996 No. of Outliers: 77, Clusters : 6, Silhoutte -0.01489999983459711
0.997 No. of Outliers: 77, Clusters : 6, Silhoutte -0.01489999983459711
0.998 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
0.999 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.0 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.001 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.002 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.003 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.004 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.005 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.006 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.007 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.008 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.009 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.01 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.011 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.012 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.013 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.014 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.015 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.016 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.017 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.018 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.019 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.02 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.021 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.022 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.023 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.024 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.025 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.026 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.027 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.028 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.029 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.03 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.031 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.032 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.033 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.034 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.035 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.036 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.037 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.038 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.039 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.04 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.041 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.042 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.043 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.044 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.045 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.046 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.047 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.048 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.049 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.05 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.051 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.052 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.053 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.054 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.055 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.056 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.057 No. of Outliers: 73, Clusters : 7, Silhoutte 0.011800000444054604
1.058 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.059 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.06 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.061 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.062 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.063 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.064 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.065 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.066 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.067 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.068 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.069 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.07 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.071 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.072 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.073 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.074 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.075 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.076 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.077 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.078 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.079 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.08 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.081 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.082 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.083 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.084 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.085 No. of Outliers: 72, Clusters : 7, Silhoutte 0.020600000396370888
1.086 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.087 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.088 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.089 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.09 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.091 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.092 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.093 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.094 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.095 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.096 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.097 No. of Outliers: 71, Clusters : 7, Silhoutte 0.031300000846385956
1.098 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.099 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.1 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.101 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.102 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.103 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.104 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.105 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.106 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.107 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.108 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.109 No. of Outliers: 70, Clusters : 7, Silhoutte 0.03920000046491623
1.11 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.111 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.112 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.113 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.114 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.115 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.116 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.117 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.118 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.119 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.12 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.121 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.122 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.123 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.124 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.125 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.126 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.127 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.128 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.129 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.13 No. of Outliers: 68, Clusters : 7, Silhoutte 0.047600001096725464
1.131 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.132 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.133 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.134 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.135 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.136 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.137 No. of Outliers: 66, Clusters : 7, Silhoutte 0.05979999899864197
1.138 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.139 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.14 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.141 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.142 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.143 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.144 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.145 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.146 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.147 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.148 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.149 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.15 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.151 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.152 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.153 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.154 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.155 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.156 No. of Outliers: 61, Clusters : 8, Silhoutte 0.07270000129938126
1.157 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.158 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.159 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.16 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.161 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.162 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.163 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.164 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.165 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.166 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.167 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.168 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.169 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.17 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.171 No. of Outliers: 60, Clusters : 8, Silhoutte 0.07999999821186066
1.172 No. of Outliers: 59, Clusters : 8, Silhoutte 0.09380000084638596
1.173 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.174 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.175 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.176 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.177 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.178 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.179 No. of Outliers: 56, Clusters : 9, Silhoutte 0.09610000252723694
1.18 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.181 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.182 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.183 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.184 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.185 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.186 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.187 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.188 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.189 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.19 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.191 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.192 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.193 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.194 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.195 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.196 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.197 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.198 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.199 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.2 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.201 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.202 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.203 No. of Outliers: 53, Clusters : 10, Silhoutte 0.10859999805688858
1.204 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.205 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.206 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.207 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.208 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.209 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.21 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.211 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.212 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.213 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.214 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.215 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.216 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.217 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.218 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.219 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.22 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.221 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.222 No. of Outliers: 52, Clusters : 10, Silhoutte 0.11739999800920486
1.223 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.224 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.225 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.226 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.227 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.228 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.229 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.23 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.231 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.232 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.233 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.234 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.235 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.236 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.237 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.238 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.239 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.24 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.241 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.242 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.243 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.244 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.245 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.246 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.247 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.248 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.249 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.25 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.251 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.252 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.253 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.254 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.255 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.256 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
1.257 No. of Outliers: 52, Clusters : 9, Silhoutte 0.12160000205039978
