0.5 No. of Outliers: 107, Clusters : 1, Silhoutte -2
0.769 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.77 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.771 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.772 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.773 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.774 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.775 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.776 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.777 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.778 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.779 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.78 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.781 No. of Outliers: 83, Clusters : 4, Silhoutte -0.026799999177455902
0.782 No. of Outliers: 80, Clusters : 5, Silhoutte -0.02500000037252903
0.783 No. of Outliers: 80, Clusters : 5, Silhoutte -0.02500000037252903
0.784 No. of Outliers: 80, Clusters : 5, Silhoutte -0.02500000037252903
0.785 No. of Outliers: 77, Clusters : 6, Silhoutte -0.040300000458955765
0.786 No. of Outliers: 77, Clusters : 6, Silhoutte -0.040300000458955765
0.787 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.788 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.789 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.79 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.791 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.792 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.793 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.794 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.795 No. of Outliers: 77, Clusters : 5, Silhoutte -0.016300000250339508
0.796 No. of Outliers: 76, Clusters : 5, Silhoutte -0.015399999916553497
0.797 No. of Outliers: 76, Clusters : 5, Silhoutte -0.015399999916553497
0.798 No. of Outliers: 76, Clusters : 5, Silhoutte -0.015399999916553497
0.799 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.8 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.801 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.802 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.803 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.804 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.805 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.806 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.807 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.808 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.809 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.81 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.811 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.812 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.813 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.814 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.815 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.816 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
0.817 No. of Outliers: 73, Clusters : 6, Silhoutte -0.012500000186264515
